GKZ_ALT	PG	GKZ_NEU	QUELLE
61402	FALKENDORF	61442	https://de.wikipedia.org/wiki/Sankt_Georgen_am_Kreischberg
61426	ST.RUPRECHT OB MURAU	61442	https://de.wikipedia.org/wiki/Sankt_Georgen_am_Kreischberg
40803	BRUCK-WAASEN	40835	https://www.land-oberoesterreich.gv.at/149128.htm
40819	PEUERBACH	40835	https://www.land-oberoesterreich.gv.at/149128.htm
41301	AFIESL	41346	https://www.land-oberoesterreich.gv.at/149128.htm
41302	AHORN	41345	https://www.land-oberoesterreich.gv.at/149128.htm
41303	AIGEN IM MUEHLKREIS	41343	https://www.land-oberoesterreich.gv.at/149128.htm
41308	BERG BEI ROHRBACH	41344	https://www.land-oberoesterreich.gv.at/149128.htm
41310	HELFENBERG	41345	https://www.land-oberoesterreich.gv.at/149128.htm
41330	ROHRBACH IN OBEROEST.	41344	https://www.land-oberoesterreich.gv.at/149128.htm
41335	ST.STEFAN AM WALDE	41346	https://www.land-oberoesterreich.gv.at/149128.htm
41339	SCHLAEGL	41343	https://www.land-oberoesterreich.gv.at/149128.htm
41340	SCHOENEGG	41628	https://www.land-oberoesterreich.gv.at/149128.htm
41519	WEYER LAND	41522	https://www.land-oberoesterreich.gv.at/149128.htm
41520	WEYER MARKT	41522	https://www.land-oberoesterreich.gv.at/149128.htm
41625	VORDERWEISSENBACH	41628	https://www.land-oberoesterreich.gv.at/149128.htm
