Jahr	Parteibezeichnung	Kurzbezeichnung
2019	Liste Sebastian Kurz – die neue Volkspartei	ÖVP
2019	Sozialdemokratische Partei Österreichs	SPÖ
2019	Freiheitliche Partei Österreichs	FPÖ
2019	NEOS – Das Neue Österreich	NEOS
2019	JETZT – Liste Pilz	JETZT
2019	Alternative Listen, KPÖ Plus, Linke und Unabhängige	KPÖ
2019	Die Grünen – Die Grüne Alternative	GRÜNE
2019	Wandel – Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.	WANDL
2019	Christliche Partei Österreichs	CPÖ
2019	Allianz der Patrioten	BZÖ
2019	Sozialistische LinksPartei – SLP	SLP
2019	Jede Stimme GILT: Bürgerparlamente & Expertenregierung	GILT
2019	BPÖ – Bierpartei Österreich	BIER
2017	Sozialdemokratische Partei Österreichs 	SPÖ
2017	Liste Sebastian Kurz - die neue Volkspartei 	ÖVP
2017	Freiheitliche Partei Österreichs 	FPÖ
2017	Die Grünen - Die Grüne Alternative 	GRÜNE
2017	NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung	NEOS
2017	Liste Peter Pilz 	PILZ
2017	Liste Roland Düringer - Meine Stimme GILT 	GILT
2017	Freie Liste Österreich & FPS Liste Dr. Karl Schnell	FLÖ
2017	Kommunistische Partei Österreichs und Plattform Plus - offene Liste	KPÖ
2017	Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung 	WEIßE
2017	Sozialistische LinksPartei 	SLP
2017	Für Österreich, Zuwanderungsstopp, Grenzschutz, Neutralität, EU-Austritt 	EUAUS
2017	Männerpartei - für ein faires Miteinander 	M
2017	Christliche Partei Österreichs 	CPÖ
2017	NBZ - Neue Bewegung für die Zukunft 	NBZ
2017	Obdachlose in der Politik 	ODP
2013	Sozialdemokratische Partei Österreichs	SPÖ
2013	Österreichische Volkspartei	ÖVP
2013	Freiheitliche Partei Österreichs	FPÖ
2013	BZÖ - Liste Josef Bucher	BZÖ
2013	Die Grünen - Die Grüne Alternative	GRÜNE
2013	Team Frank Stronach	FRANK
2013	NEOS Das Neue Österreich und Liberales Forum	NEOS
2013	Kommunistische Partei Österreichs	KPÖ
2013	Piratenpartei Österreichs	PIRAT
2013	Christliche Partei Österreichs	CPÖ
2013	Der Wandel	WANDL
2013	Männerpartei	M 
2013	EU-Austrittspartei	EUAUS
2013	Sozialistische LinksPartei	SLP
2008	Sozialdemokratische Partei Österreichs	SPÖ
2008	Österreichische Volkspartei	ÖVP
2008	Die Grünen - Die Grüne Alternative	GRÜNE
2008	Freiheitliche Partei Österreichs	FPÖ
2008	BZÖ - Liste Jörg Haider	BZÖ
2008	Bürgerforum Österreich Liste Fritz Dinkhauser	FRITZ
2008	Die Christen	DC
2008	Kommunistische Partei Österreichs	KPÖ
2008	Liberales Forum	LIF
2008	Unabhängige Bürgerinitiative Rettet Österreich	RETTÖ
2008	Die Linke	LINKE Tirol
2008	Dipl.Ing. Karlheinz H. Klement	KHK
2008	Linke	LINKE
2008	Liste Stark	STARK
2008	Tierrechtspartei earth-human-animals-nature	TRP
2006	Die Freiheitlichen - Liste Westenthaler - BZÖ	BZÖ
2006	Die Grünen - Die Grüne Alternative	GRÜNE
2006	Freiheitliche Partei Österreichs	FPÖ
2006	Kommunistische Partei Österreich	KPÖ
2006	Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit	MATIN
2006	Österreichische Volkspartei	ÖVP
2006	Sozialdemokratische Partei Österreichs	SPÖ
2006	IVE INITIATIVE 2000	IVE
2006	EU-Austritt - Neutrales Freies Österreich	NFÖ
2006	Liste Stark	STARK
2006	Sicher - Absolut - Unabhängig, Franz Radinger	SAU
2006	Sozialistische LinksPartei, Liste gegen Kapitalismus und Rassismus	SLP
2002	Sozialdemokratische Partei Österreichs	SPÖ
2002	Freiheitliche Partei Österreichs	FPÖ
2002	Österreichische Volkspartei	ÖVP
2002	Die Grünen - Die Grüne Alternative	GRÜNE
2002	Kommunistische Partei Österreichs	KPÖ
2002	Die Liberalen (Liberales Forum)	LIF
2002	Die Demokraten	DEMOKRATEN
2002	Christliche Wählergemeinschaft	CWG
2002	Sozialistische Links Partei	SLP
1999	Sozialdemokratische Partei Österreichs	SPÖ
1999	Österreichische Volkspartei	ÖVP
1999	Freiheitliche Partei Österreichs	FPÖ
1999	Liberales Forum - Heide Schmidt	LIF
1999	Die Grünen - Die Grüne Alternative	GRÜNE
1999	Kommunistische Partei Österreich	KPÖ
1999	Die Unabhängigen - Liste Lugner	DU
1999	Nein zu NATO und EU Neutrales Österreich Bürgerinitiative	NEIN
1999	Christliche Wählergemeinschaft	CWG
1995	Sozialistische Partei Österreichs	SPÖ
1995	Österreichische Volkspartei	ÖVP
1995	Freiheitliche Partei Österreichs	FPÖ
1995	Die Grünen - Die Grüne Alternative	GRÜNE
1995	Liberales Forum - Heide Schmidt	LIF
1995	Bürgerinitiative Nein zur EU - Austritt jetzt	NEIN
1995	Kommunistische Partei Österreichs	KPÖ
1995	Österreichische Naturgesetz - Partei	ÖNP
1995	Die Beste Partei - Reinhard Eberhart	DBP
