BKZ	WKNR	WKNAME
101	1A	Burgenland Nord
102	1A	Burgenland Nord
103	1A	Burgenland Nord
104	1B	Burgenland Süd
105	1B	Burgenland Süd
106	1A	Burgenland Nord
107	1A	Burgenland Nord
108	1B	Burgenland Süd
109	1B	Burgenland Süd
201	2A	Klagenfurt
202	2B	Villach
203	2C	Kärnten West
204	2A	Klagenfurt
205	2D	Kärnten Ost
206	2C	Kärnten West
207	2B	Villach
208	2D	Kärnten Ost
209	2D	Kärnten Ost
210	2C	Kärnten West
301	3B	Waldviertel
302	3D	Niederösterreich Mitte
303	3C	Mostviertel
304	3E	Niederösterreich Süd
305	3C	Mostviertel
306	3F	Thermenregion
307	3G	Niederösterreich Ost
308	3G	Niederösterreich Ost
309	3B	Waldviertel
310	3A	Weinviertel
311	3B	Waldviertel
312	3A	Weinviertel
313	3B	Waldviertel
314	3D	Niederösterreich Mitte
315	3C	Mostviertel
316	3A	Weinviertel
317	3F	Thermenregion
318	3E	Niederösterreich Süd
319	3D	Niederösterreich Mitte
320	3C	Mostviertel
321	3D	Niederösterreich Mitte
322	3B	Waldviertel
323	3E	Niederösterreich Süd
325	3B	Waldviertel
401	4A	Linz und Umgebung
402	4D	Traunviertel
403	4C	Hausruckviertel
404	4B	Innviertel
405	4C	Hausruckviertel
406	4E	Mühlviertel
407	4D	Traunviertel
408	4C	Hausruckviertel
409	4D	Traunviertel
410	4A	Linz und Umgebung
411	4E	Mühlviertel
412	4B	Innviertel
413	4E	Mühlviertel
414	4B	Innviertel
415	4D	Traunviertel
416	4E	Mühlviertel
417	4C	Hausruckviertel
418	4C	Hausruckviertel
501	5A	Salzburg Stadt
502	5B	Flachgau/Tennengau
503	5B	Flachgau/Tennengau
504	5C	Lungau/Pinzgau/Pongau
505	5C	Lungau/Pinzgau/Pongau
506	5C	Lungau/Pinzgau/Pongau
601	6A	Graz und Umgebung
603	6C	Weststeiermark
606	6A	Graz und Umgebung
610	6C	Weststeiermark
611	6D	Obersteiermark
612	6D	Obersteiermark
614	6D	Obersteiermark
616	6C	Weststeiermark
617	6B	Oststeiermark
620	6D	Obersteiermark
621	6D	Obersteiermark
622	6B	Oststeiermark
623	6B	Oststeiermark
701	7A	Innsbruck
702	7D	Oberland
703	7B	Innsbruck-Land
704	7C	Unterland
705	7C	Unterland
706	7D	Oberland
707	7E	Osttirol
708	7D	Oberland
709	7B	Innsbruck-Land
801	8B	Vorarlberg Süd
802	8A	Vorarlberg Nord
803	8A	Vorarlberg Nord
804	8B	Vorarlberg Süd
901	9B	Wien Innen-West
902	9C	Wien Innen-Ost
903	9A	Wien Innen-Süd
904	9A	Wien Innen-Süd
905	9A	Wien Innen-Süd
906	9B	Wien Innen-West
907	9B	Wien Innen-West
908	9B	Wien Innen-West
909	9B	Wien Innen-West
910	9D	Wien Süd
911	9D	Wien Süd
912	9D	Wien Süd
913	9E	Wien Süd-West
914	9E	Wien Süd-West
915	9E	Wien Süd-West
916	9F	Wien Nord-West
917	9F	Wien Nord-West
918	9F	Wien Nord-West
919	9F	Wien Nord-West
920	9C	Wien Innen-Ost
921	9G	Wien Nord
922	9G	Wien Nord
923	9E	Wien Süd-West
