g_id;g_name;area;perimeter
"901";"Wien  1.,Innere Stadt";2868139.06512451;6962.72488413959
"902";"Wien  2.,Leopoldstadt";19236126.0955505;27097.3339327321
"903";"Wien  3.,Landstraße";7394605.88027954;13963.0926939675
"904";"Wien  4.,Wieden";1774244.54290771;5632.80203892356
"905";"Wien  5.,Margareten";2010391.00762939;6339.47595148095
"906";"Wien  6.,Mariahilf";1454452.10992432;5933.72695072306
"907";"Wien  7.,Neubau";1607346.07559204;5308.00681502743
"908";"Wien  8.,Josefstadt";1089392.13977051;4162.76080496257
"909";"Wien  9.,Alsergrund";2965855.02490234;7906.98583166471
"910";"Wien 10.,Favoriten";31812131.0742188;28705.0448919225
"911";"Wien 11.,Simmering";23242123.2472534;23917.5288211798
"912";"Wien 12.,Meidling";8098651.9732666;15814.2774759724
"913";"Wien 13.,Hietzing";37693728.8721008;29655.3172269063
"914";"Wien 14.,Penzing";33744375.3004761;40066.0258892397
"915";"Wien 15.,Rudolfsheim-Fünfhaus";3915952.17282104;9704.9567367961
"916";"Wien 16.,Ottakring";8669968.02542114;18371.4806468192
"917";"Wien 17.,Hernals";11383954.734375;29290.6417244104
"918";"Wien 18.,Währing";6344028.42489624;18048.720694766
"919";"Wien 19.,Döbling";24931451.2075806;23721.2334990236
"920";"Wien 20.,Brigittenau";5706649.4859314;11669.1712632724
"921";"Wien 21.,Floridsdorf";44419880.5214844;33642.0143388149
"922";"Wien 22.,Donaustadt";102242010.320648;60209.9065020663
"923";"Wien 23.,Liesing";32042841.5354004;40759.7570467661
